parameter,display_name,symbol,units,normalization,lower_bound,cta_value,upper_bound,description
span,Wing span,B2+B3,m,absolute,28.0,31.458499999999997,35.0,"Outer semispan of the CTA planform. B1 remains fixed in meters, so the total semispan is B1 + wing span and wing span = B2 + B3."
c1_root_chord,Body chord,C0,m,absolute,39.0,41.17952274,43.0,CTA body chord. C1 is derived from C0 with fixed sweep S and straight TE(C0->C1).
c2_c1_ratio,Transition-wing chord,C3,m,absolute,13.0,13.9269627,16.0,CTA transition-wing chord C3. This section remains anchored at y=8.041 m.
c4_c3_ratio,Transition taper ratio,C4/C3,-,ratio,0.45,0.5578000000000001,0.6,CTA transition-wing taper ratio driving C4 from C3.
b2_span_ratio,Transition wing fraction B2,B2/(B2+B3),-,fraction of wing span,0.13,0.1419998,0.21,"CTA transition-wing fraction measured against wing span. Wing span is the outer semispan excluding the fixed body segment B1, so wing span = B2 + B3."
c4_c1_ratio,Wing tip chord,C5,m,absolute,0.8,0.8,1.8,CTA wing-tip chord C5.
s2_deg,Transition-wing 50% chord sweep,S1,deg,angle,15.0,34.60000000000001,45.0,CTA transition-wing sweep measured on the 50% chord line.
s3_deg,Outer-wing 25% chord sweep,S2,deg,angle,22.0,24.7,33.0,CTA outer-wing sweep measured on the 25% chord line.
med_3_te_sweep_deg,Transition-wing trailing-edge sweep,med_3_TEswp,-,-,-10.0,0.0,25.0,CTA transition-wing trailing-edge sweep shaping the TE between C3 and C4.
twist_c1_deg,Twist at C0/C3,twist_C0/C3,deg,angle,0.2,1.0,2.0,Geometric twist at CTA section C0/C3.
twist_c3_deg,Twist at C4,twist_C4,deg,angle,0.1,0.8,1.5,Geometric twist at CTA section C4.
twist_c4_deg,Twist at C5,twist_C5,deg,angle,0.1,0.6,1.0,Geometric twist at CTA section C5.
c1_upper_cst_0,C0 UPPER CST coefficient 0,"A_upper,0^C0",-,Bernstein coefficient,0.12181997367146724,0.18181997367146724,0.24181997367146724,Kulfan CST Bernstein coefficient 0 on the upper surface of section C0.
c1_upper_cst_1,C0 UPPER CST coefficient 1,"A_upper,1^C0",-,Bernstein coefficient,0.1109935828122251,0.1709935828122251,0.2309935828122251,Kulfan CST Bernstein coefficient 1 on the upper surface of section C0.
c1_upper_cst_2,C0 UPPER CST coefficient 2,"A_upper,2^C0",-,Bernstein coefficient,0.0955488788794331,0.1455488788794331,0.19554887887943312,Kulfan CST Bernstein coefficient 2 on the upper surface of section C0.
c1_upper_cst_3,C0 UPPER CST coefficient 3,"A_upper,3^C0",-,Bernstein coefficient,0.09465565111615697,0.14465565111615697,0.19465565111615696,Kulfan CST Bernstein coefficient 3 on the upper surface of section C0.
c1_upper_cst_4,C0 UPPER CST coefficient 4,"A_upper,4^C0",-,Bernstein coefficient,0.1458364950933948,0.1858364950933948,0.22583649509339482,Kulfan CST Bernstein coefficient 4 on the upper surface of section C0.
c1_upper_cst_5,C0 UPPER CST coefficient 5,"A_upper,5^C0",-,Bernstein coefficient,0.21688319276374468,0.24688319276374468,0.2768831927637447,Kulfan CST Bernstein coefficient 5 on the upper surface of section C0.
c1_lower_cst_0,C0 LOWER CST coefficient 0,"A_lower,0^C0",-,Bernstein coefficient,0.030223532827268057,0.09022353282726805,0.15022353282726805,Kulfan CST Bernstein coefficient 0 on the lower surface of section C0.
